Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext,index,id,file
BRENNER (UG),J.,86857,S,"86'857	Brenner, J..bangenscheidt.   L's Handwörterbuch rranzösisch ...Berlin: Langenscheidt i&U, 1995J.       -25cm.1600",1596,1596,chunk_1.csv
WIGET,FELIX,,,"iget  ,  Felixs.   Kommentar zur zureherisehen Zivilprozessordnung.Gesetz über den Zivilprozess vom 13.Juni 1976.Von Hans Sträuli und Georg Messmer, Schiedsgerichteund Schiedsgutachten von P'W.",1710,1710,chunk_1.csv
WIGHTMAN,E. C.,81888,A,Wightman.E	C                                            Si'888Wightman.E.C. Budgetary control in life insurance manage-ment.New York:Life Office Management Association (1954).U.246 p.)r r if,1711,1711,chunk_1.csv
MOENIG,ELISABETH,97402,,"¿¿.02 Mönig  ,  Elisabeth Mönlg, Elisabeth; Frei, Herbert.  Wie aus der Schweiz ein Musterland wurde.Kritische Anmerkungen zu einer Bro- schüre über die aoziale Sicherheit (""Soziale Sicherung in 10 Industrieländern ... hreg.von der SBG), und Entgeg- nung ",2761,2761,chunk_1.csv
MOERI,JEAN,,A,"Mori , Jean s. Reymond-Sauvain,Pierre. Le syndicalisme en Suisse ",2762,2762,chunk_1.csv
MOESCHLER,WERNER,,A,"Möscüler, Werner Möscßler,Werner.    Untersuchungen über Eintrittsgewinn und Fehlbetrag einer VersiuherungBkasse. (Mi11.d.Ver.schwe iz.Vers icherungemathemat iker.  Heft 30) Bern:Stampfli 1935.	(S.  129-185) • ^         (Dr.) ",2765,2765,chunk_1.csv
MOHR,HANS HEINRICH,2309,A,"Mohr,  Hans-Heinrich Mohr,Hans-Heinrich; Hofmann,Helmut. Lebensversicherung (Schriftenreihe ""Die Versicherung"", Band 5.) Wiesbaden: Verlag Dr. Th.Gabler, (1965.)       (266.S.) 8125 ",2772,2772,chunk_1.csv
MOINE,DONALD J.,,A,"Moine     ,     Donald       J. s.        McCord,   William T.;   M'D'J.        Better than gold.   An  investor's  guide to Swiss   annuities. ",2777,2777,chunk_1.csv
MOIVRE,ABRAHAM DE,3701,A,"Moivre, Abraham de Moivre,A(braham) de. A.M's Abhandlung über Leibrenten. Nach der dritten Auflage von 1756 ins Deutsche übertragen und mit Anmerkungen versehen von Emanuel Czuber. •^Sonderheft der "" Versicherungswissenschaf tlichen Mittei- lungen""). Ïïie",2780,2780,chunk_1.csv
MOLCHO,SAMY,87328,A,"Molcho  ,  Samy Molcho, Samy.   Körperspräche. Mit Fotografien von Tho- mas Klinger und Hans Albrecht Lusznat. (Sonderausgabe). (München): Mosaik Verlag (GmbH, 1994).	-25cm. 223 S.fill. 36366 ",2782,2782,chunk_1.csv
MONATSBERICHTE,,,A,"Monatsberichte Monatsberichte der Bank deutscher Länder. 1951 ff.- 1957.     [Forts,   s.   M'ber.d.Dt.Bundesbank,   1958 Prankfurt(Matn) T- ",2808,2808,chunk_1.csv
MONNIER,HENRY,,A,"Monnier,  Henry 8,TripierfLouie   [et] H.M.   Lois usuelles...         1912, 850. ",2821,2821,chunk_1.csv
MONTLUC,LÉON ADRIEN DE,,A,"Montine   ,  Léon-Adrien de Montluc,Léon-Adrien de. Des assurances sur la vie dans leur rapport avec les principes du droit civil, du droit commer- cial et les lois de l'enregistrement. Paris:Alcan-Lévy 1870.	(327 S.) 544                     ^ C ",2832,2832,chunk_1.csv
MOOS,EDUARD VON,85971,A,"Moos     ,    Eduard      von Moos,  Eduard von.      Ein schweizerischer Weg zum Erfolg. Motivation in der Unternehmung.  Betriebstechnische Keine des Schweizerischen Versandes für das Arbeitsstuditim, SVBF.  Nr.  7. (ffinterthar); Planung und Produktion",2841,2841,chunk_1.csv
MOOS,LUDWIG VON,98222,,"iloos,     Ludwig      von iloos,   Ludwig von.       Hundert Jahre Otwaldner Kantonalbank 1886-1986. Ein Gang durch Geechichtô,   Akten und Berichte. (Saman,   Obwaldner Kantonalbank,   1987).     -27cm.178 S.ill G Hrsger ",2842,2842,chunk_1.csv
MOOS,MAX VON,,A,"Moos     ,     Max       von B.       Heusser,   Hans-Jbrg.       Max von Mooa ^1903-1979)   . *• ",2843,2843,chunk_1.csv
MORI,,,A,"Mori Mori,Bruno de. Le contrat de réassurance. Société des.Nations. Institut international de Rome pour l'unification du Droit, Rome 1936.	fol.            (194 S.) 2357 ",2868,2868,chunk_1.csv
MOTIONEN,,,A,"Motionen Motionen und Postulate der gesetzgebenden Räte im Jahre ... inkl. Botschaften, Berichte und Standesinitia- tiven.. Geschäftsbericht . . . s.   Bericht des Bundesrates über seine Geschäftsführung im Jahre ... ",2931,2931,chunk_1.csv
MOTIVE,,,A,Motive Motive für die Gründung einer Hamburger Kapital- und Renten- Garantie-Geaellsohaft... s.   (Jensen.Max) . Motive...	1877. 58B ,2932,2932,chunk_1.csv
MOUSSA,PIERRE,,,"ouasa,Pi.erre s.   Chabannes»Jean-Antoine.   Une  assurance   qui   change  la vie. ",2941,2941,chunk_1.csv
MOUSSON RUEEGG,HEINRICH,93065,A,"Mousson-Rüegg,   Heinrich	*? 3 O Mousson-RUeggtHeinrlch,   1866-1944.   Abschiadsworte  bei der  Bestattung   ...   . Zürich  1944.	-  25  cm.   40  S.   1  Portr.-Taf. ",2942,2942,chunk_1.csv
MOUVEMENT,,,A,Mo'uvement Mouveraent de la population en Suisse a. Bevölkerungsbewegung in der Schweiz.  1876 - ,2943,2943,chunk_1.csv
MUCKSCH,HARRY,87177,A,"Mucksen  ,  Harry Mucksch, Harry; Behme, Wolfgang (Hrsger).   Das Data- Warehouse-Konzept. Architektur, Datenmodelle, Anwendun- gen. Mit Erfahrungsberichten. (Wiesbaden: Betriebswirtschaftlicher Verlag Dr. Th. ) Gabler (GmbH, 1996).	-24cm. XV, 559 S 35989",2954,2954,chunk_1.csv
MANUEL 1959,,307,,"U a n. u e 1 Manuel de l'assurance populaire. Edition 1946, 1948, 1952 Co ire ¡Ebner 1946 - K 278 ",661,661,chunk_2.csv
DR. BURCKHARDT,,81802 + 81803,S,"8l'802 + 8l'803	Dr.Burckhardt Wiistmann, (Gustav).   SpracJidummJiezten. ",1262,1262,chunk_2.csv
DR. ARNDT,,81805/1,S,"8l' 805/1 £	Br.Arndt Sachs/Villatte. Enzyklopädisches ... Wörterbuch, A«Xf""- K i,  ff _  1V t ",1264,1264,chunk_2.csv
MATTLE (WM),,81808,S,"81*808	MattZe (WM) Pedroni, Gabriella; Zweifel, Peter.  Alter, Gesundheit, Gesundheitskosten. Studien zur Gesundheitsökonomie. 12. (Basel: Pharma Information, 1989).   -21cm,92 S.Taf. ",1267,1267,chunk_2.csv
BIBL.,,81814,S,81*814	-fti- fctf. Profit-sharing.  A  Symposium edited by Heinz Sauerraann and Rudolf Richter   ...  1977. ,1272,1272,chunk_2.csv
DR. FEHR (S),,81815,S,"81'815	Dr«   Fefcr   (S) Brühwiler,   JUrg.  Handkommentar  zum Einzelarlaeitsvertrag. Bern  (1978). ",1273,1273,chunk_2.csv
GEN. DIR. JAGMETTI,,81816,S,"8l'816	Gen.Dir.Jagmetti Jahre.100, Universität Zürich 1855-1953- ",1274,1274,chunk_2.csv
BIBLIOTHEK,,81818,S,"81*818 Lopez,  A l an B.;   Clique t,  Robert It.      Lee  tendances dömo- grapfa.iqu.es dans la r^gion europöenne   ... Gopenhague:  Organisation mondiale de la eantd,  Bure au rä gional de l'Europe,   (1987).	-24cm.VIII(198 p ",1276,1276,chunk_2.csv
DR. AMSTAD (N),,81821,S,"8l1621	Dr. Amatad (N) ______ Tanner, Christoph.   Hinterlüftete Fassaden. Abschluss- ""bericht zum F + E Projekt 127 578. Unterstützung und Mit- arbeit: R. Sagelsdorf, Th. Frank [u.a.]. 2., »Auflage. (Dübendorf): EHPA, 1993-	-30cm.89 S., ",1279,1279,chunk_2.csv
BUCHHALTUNG (RELLSTAB),,81822,S,"8l'822	Buchhaltung ______     _________________(Rellstab)______ Burri,J.; Märki.A. Doppelte Buchhaltung.         1956 ",1280,1280,chunk_2.csv
SEKRETARIAT FRL. DR. MUELLER,,81825,A,Sekretariat Frl. Dr. Müller Codice delle obbligazioni ...	1958 ,1283,1283,chunk_2.csv
KAPITALANLAGEN MOLL,,81827,,"o-, (op7	Kapitalanlagen ^-^-  ^^ '	l«* T T Moll Codice delle obbligazioni ...	1958 ",1285,1285,chunk_2.csv
DR. BURCKHARDT,,81828,S,8l'828	Dr.Burckhard t Systems Magazine. Vol.19(1955) - ,1286,1286,chunk_2.csv
FRAU SCHLEUTERMANN (WM),,81829,S,"81*829	Frau Schieutermann (WM) Duden.  Rechtschreibung der deutschen Sprache und der Fremdwörter. 19.*Auflage. Mannheim: Bibliographisches Institut Mannheim; Duden- verlag, (1986).	-20cm.792 S. ",1287,1287,chunk_2.csv
DR. FEHR (S),,81831,S,"8l1831	Dr. Fehr (S) Streirf, Ullin.   Leitfaden zum neuen Arbeitsvertrags- Recht ... Glatfbrugg/ZUrich (1972). ",1289,1289,chunk_2.csv
DR. FEHR (S),,81832,S,"81'832	Dr. Fehr (S) Guldener, Max.    Schweizerisches Zivilprozessrecfa.t.3«*A. Zürich 1979. ",1290,1290,chunk_2.csv
DR. KUPPER,,81833,S,"81*833______________________________Dr.Kupper______ Grundlagen,technische./ der Eidgenössischen Versicherungs- kasse - EVK 1980: Textband + J><$> + ",1291,1291,chunk_2.csv
DIENER (KI),,81836,S,"8l1856	_________Diener (Ki) Langenscheidt. L1s Handwörterbuch Französisch. .,. Berlin (1981). ",1294,1294,chunk_2.csv
BIBLIOTHEK,,81837,S,"81'837	Dr. Kühn (PF/OS) Insurance anti-fraud guide, the European... CEA info. Special issue. No. 4, May 1996. (Paris): Comite Europeen des Assurances, CEA, 1996. -28cm.55 p ",1295,1295,chunk_2.csv
AESCHLIMANN (D),,81838,S,"81*838	Aeschlimann  (D) Tliurner.fi.;   Nigg,N.  Strukturierte Programmierung.Program- mierter Lehrgang:  DELTA.   (2,Auflage). (Sdiwerzenbaclx 1980JL* ",1296,1296,chunk_2.csv
L (HERZ),,81839,S,"81*839_________________________________L   (Herz)_____ Bau-Adreasbuch,   schweizerisches. Bauwirtschgrft,Baumaschi- nen-Industrie, Bau-Elektrotechnik  ...   (Ausgabe)  1979. ",1297,1297,chunk_2.csv
LIEGENSCHAFTEN (MORET),,81840,S,"8l'840	Liegenschaften (Moret) Duttweiler,Georges. Bouveau dictionnaire pratique de correspondance commeroiale et privee... ",1298,1298,chunk_2.csv
BIBLIOTHEK,,81846,S,"81*846	Dar^ ttüh-lpbaoh (A) Probst, Giltert J.B.; Gomez, Peter.  Vernetztos Denken. Unternehmen ganzheitlich fuhren. (Wiesbaden); Betriebswirtschaftlicher Verlag Dr.Th.) Gabler) GmbH, 1989).	-24cm.IX,239 S. ",1304,1304,chunk_2.csv
AMMETER,,81848,S,81*848	Ammeter Staüffer.W.;   Scfaaetzle.Tii.   Barwerttafeln.   2.*Aufl.   (1958) ,1306,1306,chunk_2.csv
NEUERBOURG (S),,81849,S,"81*849	Neuerbourg (S) Schnitz,H. Rechtsprechung und Praxis im Straesenverkehr in den Jahren 1975-1977. Bern 1979. ",1307,1307,chunk_2.csv
FREITAG (C),,81850,S,81*850	Freitag (G) *  Klinisches Wörterbuch mit klinischen Syndromen ... 253.*Aufl. Berlin 1977. ,1308,1308,chunk_2.csv
ANTRAEGE,,81853,S,"81-853	Anträge Liniger,H. Der Rentenraann. ",1311,1311,chunk_2.csv
FINGERHUTH (DIR),,81855,S,"81'855	Fingerhuth (Dir) Träger, Günther; Lahmann, Wolf-Dieter; Mehler, Ha.A. Macht und Magie der Public Relationa. Insider-Informa- tionen, Erfolgsformeln, Spitzenleistungen. (Landsberg): Verlag Moderne Industrie, (1989).   -25cm. 315 S. ",1312,1312,chunk_2.csv
VON ARX,,81858,S,"8l'858	von Ar* Jacot,Arthur. Schweizerisches Orts-Lexikon ... ",1315,1315,chunk_2.csv
DR. BAUMANN,,81859,S,81*859	Dr.Baumann Schönenbereer.W. ZGB.	1958 ,1316,1316,chunk_2.csv
DR. BAUMANN,,81860,S,"8l'860	Dr.Baumann Schönenberger,W. OR.	1958 ",1317,1317,chunk_2.csv
AD,,81864,S,"81*864____________________________________Ad_____ Hunziker, Hans W. Audiovision .im Unterricht.Handbuch für Lerntechnologia (1981/82). Zürich, Transmedia Verlag, (1981).     -21cm.253 S.Abb. ",1320,1320,chunk_2.csv
DR. KELLERHALS (G),,81866,S,"81'866	Dr.Kellerhals (G) Kerstins,Albert. Das Recht der deutschen Versicherung. ",1322,1322,chunk_2.csv
FRAU SCHLEUTERMANN (WM),,81867,S,"81*867	Frau Schleutermann (WM) Langenscbeidt,  L1s Handwörterbuch Französisch ... Berlin: Langenseheidt (KG, [l9]88).       -25cm.1314 S. ",1323,1323,chunk_2.csv
DR. KRAMER,,81871,S,"81'871	Dr.Krämer Viel,Jakob. Betriebs- und Unternehmungsanalyse.    1958 ",1327,1327,chunk_2.csv
BIBL.,,81872,S,"81*872	RutB CD Jordi, Hang R. Inflation accounting.Vorschlag zur Berück- sichtigung der Finanzierung bei tageswertiger Rechnungs- legung ... Bern (i960). ",1328,1328,chunk_2.csv
L (EGLI),,81878,S,81'878____________________________________L (Sgli) Duden.  Sinn- und. sachverwandte Wörter und Wendungen Mannheim ... (1972). ,1334,1334,chunk_2.csv
HOTZ (C),,81880,S,"81*880	____________Kollor -fS-) Waser,   Peter  G.;   Steinbach-Le'b'bin,   Claudia.       Praktische Pnarmakotherapie fUr Aerzte,Zahnärzte und Apotheker   ... 16.»Auflage.   Basel   1980. ",1336,1336,chunk_2.csv
SCHMID (P1),,81882,S,81*882	Schmid (Pl) Pschyrembel. Klinisches Wörterbuch ... 253.*Aufläge.1977 ,1338,1338,chunk_2.csv
BIBL.,,81888,S,8l '888	/Dif.ICraiHOg/ Wightman.E.C. Budgetary control in life Insurance raanage ment . ,1344,1344,chunk_2.csv
WALLINGER,,81889,S,81'889	Wallinger Doppelbesteuerungsabkoromen zwischen der Schweiz und der Bundesrepublik Deutschland. ,1345,1345,chunk_2.csv
GIMPERT (I),,81890,S,"81'890	Gimpert  (I) I/undquist,   Agne.  Personallohre  flir Vorgesetzte.Praktische Personalflihrung am Arbeitsplatz.   Zürich  (1976). ",1346,1346,chunk_2.csv
PILLER,,81891,S,"81'891_______________________^_____Piller Piccard,R.; Thilo,E.; Steiner,E. Dictionnaire juridique franqaig-allemand ... Tome I:Franpais allemand. Zürich 1950. ",1347,1347,chunk_2.csv
DR. STETTBACHER,,81892/1-10,S,8l'892/1-10	Pr.Stettbacher Klinik der Gegenwart. Band l-10. ,1348,1348,chunk_2.csv
LUBICZ (GS),,81901,S,"81*901	Lubicz   (Gs) Robert,   Paul.       Dictionnaire alpb.abe*tique	et  analogique  de la langue frangaise.   (Le petit Robert)...	(Paris)   1979. ",1357,1357,chunk_2.csv
"MEIER, K.J. (S)",,81902,S,"81<902	Meier, K.J. (S) Duden.  Fremdwörterbuch. 5-, neu	bearb. *Aufläge. Mannheim! Dudenverlag, £1990).	-20cm.852 S. ",1358,1358,chunk_2.csv
DR. RUCHTI (MB),,"81903/1,2",S,"81*903 / 1,2	Dr.Ruchti (Mb) Tables, a(90), ?or annuitants. 2 vols. ... 0^ to 7 8^ to 16^. [London,Edinburgh] 1979. ",1359,1359,chunk_2.csv
WALLINGER,,81907,S,8ll907	Wallinger Code gönöral des impöts. legislation applicable au ler mal 1959. ,1363,1363,chunk_2.csv
GRUPPENVERSICHERUNG,,81910,S,"8l '910  ,	Gruppehversicherung Versicherungs- und Fürsorgeeinrichtungen in der Schweiz... 1957 ",1365,1365,chunk_2.csv
"MEIER, M. (KI)",,"81912/1,2",S,"81-912/   l,a	Soaiak-(-Sa). Sache,W.;   Drude,G«  LetenaversicherungstechniBcliea Wörter- buch  ...  2.Auflage.  [Mit] Ergänziuig.Karlerulie 1964-1972. ",1367,1367,chunk_2.csv
DR. KUHN (S),,81918,S,"81*918	Dr. Kühn (S) Pfennigstorf, Werner.  Regulierung und Deregulierung im Versicherungswesen der Vereinigten Staaten. (Veröf- fentlichungen der Hamburger Gesellschaft zur Förderung des Versicherungswesens mbH. Heft 7). (Hamburg) 1989.	-21cm.VIII,211 S. ",1373,1373,chunk_2.csv
KOLLER (C),,81922,S,"81*922________________________________Koller (G) Kocher,G.;Rentchnick,P. Teure Medizin.FUr gezielte Refor- men In unserem Gesundheitswesen ... Bern (I960). ",1379,1379,chunk_2.csv
BUERCHLER (L),,81925,S,"8l'925	Bürchler (L) Haegeli,Wolfgang. Die Wertberechnung des Baulandes über- bauter und unüberbauter Grundstücke ",1382,1382,chunk_2.csv
SIEGRIST (K),,81927,,ai'927___________________________Siegrist (K) Langenscheidt. L1s Taschenwörterbuch der italienischen und deutschen Sprache ... (1977). ,1384,1384,chunk_2.csv
BRAEM (S),,81932,S,"81'932	Bräm (S) Renten-Vademecum. Schulungsunterlage für AHV/IV-Renten- sachbearbeiter... Rainer PUeg). glawll: Buchdruckerei Flawil AG, 1990.     -31cm.Ordner. ",1389,1389,chunk_2.csv
DR. KUHN (S),,81933,S,"81'933	Dr. Kühn (S) EG-Produkthaftpflicht, neue: Vergleich USA. Konsequenzen für das Management » New EEC pro du et liability: The U.S. in comparison. Consequences for management. Ton Ulrich Stürmer, Jack Edvard Koepke [und] Benno Reischel. Köln t Gerlin«",1390,1390,chunk_2.csv
BIBL.,,81934,,"...   ^ 81'954	DgiMtthlebaoh (A) Grands, les, de l'assurance europöenne = The leading Eu- ropean insurers 1988/89. Ouvrage congu et r6alis£ par Fr6d6ric Granädo. (2e Edition). (Paris): L'Argue; (Bditions Securitas, 1988).    -24cm. 795 P. ",1391,1391,chunk_2.csv
BERTSCHI (WM),,81936,S,"81*936	Bertschi (WM) Jahrbuch der Wertung in Deutschland, Oesterreich und der Schweiz, 29. Band 1992 = The adTertiser's anrmal for Germany, Aus-fcia and Switzerland, 29th volume 1992. [Hrsg, von] Willi Schalk [und] Helmut Thoma. Düsseldorf: EGON Verlag (G",1393,1393,chunk_2.csv
PROF. WYSS,,81938,S,8l'938	Frof.Wyee Lütolf.Werner. Wege zur Produktivitätssteigerung im Verwal- tungsbetrieb ... ,1395,1395,chunk_2.csv
SIEGRIST (W),,81944,S,"81*944____________________________Slegrlat (W) Textor, A.M,  Sag es treffender ... (Ungekürzte Ausgabe der 10.überarbeiteten und erweiterten Auflage ... (Reinbelc b.Hamburg I960). ",1401,1401,chunk_2.csv
ALICH (IN),,81956,S,"81'956_____        ______________Auch (IK)____ Fischer, Joachim.   Datenmanagement. Datenbanken und betriebliche Datenmodellierung. Unter Mitarbeit von Holger Dresing. München: R.Oldenbourg Verlag (GmbH, 1992).      -24-ciß. X,328 S. ",1413,1413,chunk_2.csv
,,81963-81965,S,81'963 - 81'965 Herbling Carl. Autonome Fensionskasse oder Gruppenversiche- rung. // n s 9 S <a / f/    X;-'- ^K-^ttt. ff       '™     $r       t=S	fr^irlrtJ        LTW'-T'*-»-! ,1419,1419,chunk_2.csv
BIBLIOTHEK,,81966,S,"8l'966 Koch, Hans Peter; Wittwer, Jürg.   Informationsmanagement ist Chefsache. Erfahrungen aus vierzig Jahren Informatik- einsatz im Sulzer-Konzern. Ein Leitfaden für den effekti- ven Umgang mit der Informationstechnologie. (Zürich): Orell Füssli Verlag,",1420,1420,chunk_2.csv
M. MEIER (KI),,81968,S,81'968	S edlalt (Oi) Lexis. Larousse de la langue frangaise. 1977. ,1422,1422,chunk_2.csv
TSCHANZ (LI),,81970,S,81''970	Tschanz (li) Duden. Rechtschreibung ... ,1424,1424,chunk_2.csv
ETTLER/RELLSTAB (BUCHHALTUNG),,81977 + 81978,S,"8l«977 + 8l'978	Buchhaltung: Ettler, Rellstab Müller-Weil.M; Walther,H. Buchhaitungsaufgafeen aus den kaufmännischen Lehrabschlussprüfungen.	1959 ",1430,1430,chunk_2.csv
BUSINGER (K),,81984,S,81*984	Businger (K) Handbuch der Harmonisierung des Rechnungswesens der Öf- fentlichen Haushalte ... Ausgabe 1978. ,1435,1435,chunk_2.csv
GRUPPENVERSICHERUNG,,82018,S,"82'018	Gruppenversicherung Guyer.J.  Tages-Zinetabellen,..        3 3/4$ ",1458,1458,chunk_2.csv
SIEGRIST (W),,82021,S,"82'021	Siegrist (W) Scnraid, Bans.  Geld,Kredit und Banken .,. Bern (1979). ",1461,1461,chunk_2.csv
SIEGRIST (W),,82034,S,"82*034	Siegrist  (W) Sigg,   Rudolf.        Zur •Methodik der Leistungsmesgung und -ana lyse teira Aktienanlagefonds. ",1474,1474,chunk_2.csv
ANTRAEGE (THIEL),,82201,S,"82'201	Anträge (Thiel) Podrun,Hanna. Der Unfallsachtoearbeiter. Teil I. ",1614,1614,chunk_2.csv
PILLER,,82218,S,"82*218	Piller Bönac,   Henri.     Dictionnaire  des   synonymes   conforme  au Dic- tionnaire  de  l'Acadömie frangaise.   ([Re~impression de  l'e~di tion]l956) . Paris,   Librairie Hachette,   (1979).	-21cm.1026  p. ",1626,1626,chunk_2.csv
SCHRAEMLI,J.,,A,"Schrämli   ,   J Schrämli.J	Medizinalstatistische Notizen über die Bewegung der Bevölkerxmg des Kantons  Zürich  in den 10  Jahren 1846-1855. (SA,a.d.Monatsschrift des wissenschaftlichen Vereins). Zürich:Meyer & Zeller 1857.	(20 S.Ì 58B                   ",1730,1730,chunk_2.csv
SCHRIFTENREIHE,,91055,A,"Schriftenreihe Schriftenreihe der Schweiz.  Studiengeraeinschaf t für Euro päische Fragen. [Bd.]  I ff. (Zürich:Buohdr. Stampfenbach A. G.  1942- 3718,   4198 ",1761,1761,chunk_2.csv
SCHROEDER,WOLFGANG,,A,"Schröder  ,  Wolfgang s.  Bronner, Rolf. Weìterbildungserfolg. Modelle und Beispiele systematischer Erfolgssteuerung, unter Mitarbeit von WS1. ",1775,1775,chunk_2.csv
SCHROETER,C.,,A,"Schröter.C SchrÖter,C       . Paul Usteri'a Bedeutung für die Natur- wissenschaft und für die Schweizerische Naturforschende Gesellschaft. SA.a.d.Vierteljahrsschrift der Naturforschenden Gesellschaft in Zürich, 1917. Zürich:Zürcher & Furrer 1917.	(18 S.) ",1782,1782,chunk_2.csv
SCHROPP,,81553,A,"S c h r o p p Sohropp      und Hies       . Betriebliche Alterefür- eorge in steuerlicher Sicht. Teil A: Systematische und rechtliche Darstellung. Teil B: Berechnungen und Tabellenwerk, Stuttgart:Verlag für ffirtschafts- und Steuersachverständige (1955) r",1783,1783,chunk_2.csv
SCHRUTKA,LOTHAR,,A,"Schrutka,   Lothar Schrutka,Lothar.     Leitfaden der Interpolation, WienrSpringer 1941.	(VII.79 S.) â^	y 1942,364?.	^r          (Prof.Dr.Wien)               -y ",1784,1784,chunk_2.csv
BUECHI,J. ALFRED,,A,"Buchi, J.  Alfred Buchi,J.Alfred. Grundzüge des schweizerischen Schuld- betreibungsrechts. Lehrbuch für Wirtachaftsschulen zum Selbststudium und als Repetitorium für Studenten. Band l : Grundlagen und allgemeine Lehren; Ueberblick über die Betreibungaar.t",1785,1785,chunk_2.csv
BUECHI,H.,,A,"Buchi  ,  H. s.   Liegt meine Zukunft in der Datenverarbeitung ? Berufe der EDV. ",1786,1786,chunk_2.csv
BUECHI,WALTER A.,,A,"Buchi  ,  W-a Iter   A.	___ Buch!, Walter A.; Fröhlich, Elisabeth; Jeanneret, Roland Das Lehrlingsbuch. (""Kafi Stift""; Fernsehen DES). (Einsiedeln), Benziger (AG, 1986).	-20cm.131 S 24819 ",1787,1787,chunk_2.csv
BUECHI,WERNER,87341,A,"Buchi     ,     Werner Buchi,   Werner.        Professionell   zur  neuen Position, (2.   Auflage). (Zürich:   Werd Verlag,   1996),	-30cm.166  S, 36364 ",1788,1788,chunk_2.csv
BUECHLER,HANS,94626,A,"B-üohler.Hans Büchler, Hans.  Die Erhöhung des Grundkapitals mit Ausgabe von Gratisaktien nach schweizerischem Obligationenreoìit. Abhandlungen zum schweizerischen Recht.  N.F.Heft 20, Bern:Stämpfli 1926.	(V,142 S.) 1373 ",1789,1789,chunk_2.csv
BUECHLER,HANS-PETER,12097,A,"Büchler,'Hans-Peter         */,£<? ^ BUchler,Hans-Peter. Das Kontrollrecht der Aktionäre. Zürcher Beiträge zur Rechtswissenschaft. Neue Folge, Heft 376. ZürichiSchulthess Polygraphischer Verlag,1971. - 23 cm XXII,105 S. 12304 ",1790,1790,chunk_2.csv
BUECHMANN,GEORG,BV 69,,"•8r Bttchmann  t  Georg        __ _____________ Buchmann, Georg.  Geflügelte Worte.Der Zitatenschatz des deutschen Volkes,gesammelt und erläutert von G'B1; fort- gesetzt von Walter Rofcert-Tornow, Konrad Weidling [u.a.], 35.Auflago neubearbeitet von Winfr",1791,1791,chunk_2.csv
DEL GRANDE (N),,83432,S,"83*432	Del Grande  (N) Grosgurin,   Claude,       Servons-ncms  du mot   juste.  Les pi&ges  tendüs au traducteurs par l'allemand des bätis- eeura.   2e  Edition,revue  et augmentäe. Lausanne-Ecublens:  Editions SEATÜ,   (1992).   -21cm.104 P- ",2236,2236,chunk_2.csv
FRAU BOZZATO (KG),,83457,S,"83*457	Frau Bozzato (KG) Empfehlungen für die Terminologiearteit. Hrsger: Konfe- renz der Uetersetzungsienste westeuropäischer Staaten; Arbeitsgruppe Terminologie und Dolcumentation KUeWES. Bern: Schweizerische Bundeskanzlei, 1990 .      -32cm. [l2l] S. O",2268,2268,chunk_2.csv
PERRET,JEAN,,A,"Perret , Jean Ferret,Jean. Le problème de l'or. (Les cahiers de l'actualité économique. Année II, No.7) Genève: Editions Radar [1946].	(59 S.) K 461 ",2422,2422,chunk_2.csv
KAAN,JULIUS,7891/C,A,"Kaan  ,   Julius Kaan , Jul ÌUB . Anleitung zur Berechnung der einmaligen und terminlichen Prämien für die Versicherung von Leibrenten, Aktivitäts-, Invaliditäts- und Witwenrenten, sowie zur Be- recîmung der bezüglichen Prämienreserven zum Zwecke der Bila",2427,2427,chunk_2.csv
KAAS,R.,,A,"K a a s  ,  R. s.   Methods, effective actuarial [by] M.J.Goovaerts, R.K1 ... ",2428,2428,chunk_2.csv
KAPITALANLAGEN,,91682,A,"Kapitalanlagen Kapitalanlagen, die, der Personalvorsorge-Einrichtungen. Zusammenstellung der Erlasse der kantonalen Auf sichts'be- hörden. Stand I.März 1982. ZUrich, Litera Pensionskassen-Beratung,	1982.     -21cm. Ä .	17 Bl. G von Verlag	^ ",2521,2521,chunk_2.csv
KASKEL,W.,,A,"K a s k e 1 , W Kaskel.ïï	Sozialversicherung und Krieg. / {Veröffentl.d.Deutsch.Ver.f.Vere.Wissenschaft. -Heft 26) Berlin 1914.	(S.  116-133) •	' ^^	(Friv.Doz.Dr.iur.) ",2595,2595,chunk_2.csv
KASSATIONSGERICHT,,,A,Kassationsgeri'cht s.  Rechenschaftsbericht des  Obergerichtes und des Kassations- gerichtes... O ,2596,2596,chunk_2.csv
KASSER,HANS,,A,"Käs. ser,  Hans s. Arnet,Edwin. Zürich ",2597,2597,chunk_2.csv
JAHRE,,6720,A,"Jahre Jahre, 50, Urner Kantonalbank, 1915-1965. 'Illustr (Altdorf  1965.)	(115   S.) ",246,246,chunk_3.csv
SCHIESS,LYDIA,5730,A,"Schiess , Lydia Schiess,Lydia. Schweizer - dein Geldl So machen Sie mehr aus Ihrem Geld. Ein grosser Ringier-Ratgeber. (Zofingen:)Ringier,[l975].  - 24 cm. 272 S. ill. Beilage: 2 Falttafeln. 14774 ",756,756,chunk_3.csv
